Asset,Weight,HitRatio,MSE,RMSE,MAPE,NRMSE
dax,0.7,0.6958507803578227,23895798.533763025,4888.332899237022,32.18344085726218,0.34889796989820804
dax,0.75,0.9712197350388305,4649913.195233841,2156.3657378176463,12.693769054824857,0.14653760331898127
dax,0.8,0.9155251141552512,3168502.1169913383,1780.028684317008,9.181375559495901,0.11659459156463955
dax,0.85,0.8569254185692542,7219707.89512169,2686.9514128695537,11.045276011046951,0.16392776007995183
dax,0.9,0.8047945205479452,6468558.89904445,2543.336174996229,9.43619456535793,0.14677279174070512
dax,0.95,0.5388127853881278,11651445.504502388,3413.4213781047292,13.059647080633413,0.17067053039685062
lufthansa,0.7,0.4948453608247423,6.768602436746322,2.601653788794028,30.603883349303718,0.363316008663417
lufthansa,0.75,0.851569933396765,1.8175413511082363,1.3481622124611847,12.954392194508028,0.1885060924492255
lufthansa,0.8,0.7812128418549346,2.163742213190493,1.4709664215033913,13.852356552404615,0.20148682450390681
lufthansa,0.85,0.06497622820919176,14.780506534575313,3.844542435007749,53.68638059021187,0.525064185730535
lufthansa,0.9,0.7482185273159145,1.2652603839468877,1.1248379367477288,15.43149461614101,0.1684669676666845
lufthansa,0.95,0.8246445497630331,0.6488428952000858,0.8055078492479671,8.686827800027297,0.11829478119732696
tlira,0.7,1,1.2463984622846858,1.1164221702764083,7.268617458517435,0.08040481955597917
tlira,0.75,1,0.7041281065200743,0.8391234155474833,5.61650316235749,0.06008900992052948
tlira,0.8,1,0.18359243740941458,0.4284768808342109,2.8439182977292727,0.03045002097782437
tlira,0.85,1,0.020186060037345417,0.14207765495441363,0.7845909854434742,0.009968807499277805
tlira,0.9,1,0.0840768151462323,0.2899600233587939,1.6885566130075316,0.019983846921842317
tlira,0.95,1,0.046870731947686727,0.21649649407712523,1.2526945289668519,0.014682543788657822
dax,Seq,0.32798165137614677,197722.87926369923,444.6604089231458,4.274770622487383,0.05915947384903882
lufthansa,Seq,0.2535885167464115,1.5608692660303325,1.2493475361284916,8.013452184847166,0.10288582832591502
tlira,Seq,0.16666666666666666,3.014492636431104,1.7362294308158424,10.171080865676721,0.13942015764193527
