Asset,Weight,HitRatio,MSE,RMSE,MAPE,NRMSE
adesso,70,0.25,72112.566,268.538,255.611,2.435
adesso,75,0.977,2234.923,47.275,45.041,0.46
adesso,80,0.974,4588.256,67.737,70.668,0.718
adesso,85,1,714.277,26.726,28.103,0.297
adesso,90,0.942,178.173,13.348,13.961,0.158
adesso,95,1,162.086,12.731,12.479,0.142
adesso,SEQUENTIAL,0.947,5.87,2.423,1.853,0.032
adesso,mean,0.8571666666666666,13331.713500000002,72.72583333333333,70.97716666666666,0.7016666666666667
dax,70,1,6166122.207,2483.168,16.822,0.177
dax,75,1,4247357.452,2060.912,8.68,0.14
dax,80,1,6092707.578,2468.341,10.05,0.162
dax,85,0.999,13541462.972,3679.873,15.537,0.225
dax,90,1,10544393.077,3247.213,12.118,0.187
dax,95,1,14683957.818,3831.965,14.798,0.192
dax,SEQUENTIAL,0.945,11246.99,106.052,0.953,0.014
dax,mean,0.9998333333333334,9212666.850666666,2961.9120000000003,13.000833333333333,0.1805
lufthansa,70,0.987,10.878,3.298,40.533,0.461
lufthansa,75,1,4.012,2.003,21.536,0.28
lufthansa,80,1,3.92,1.98,21.524,0.271
lufthansa,85,0.997,8.246,2.872,39.887,0.392
lufthansa,90,1,0.836,0.915,12.218,0.137
lufthansa,95,1,0.941,0.97,10.237,0.142
lufthansa,SEQUENTIAL,0.945,0.074,0.272,1.644,0.022
lufthansa,mean,0.9973333333333333,4.8055,2.0063333333333335,24.3225,0.2805
