Asset,Weight,HitRatio,MSE,RMSE,MAPE,NRMSE
dax,0.7,0.695089455652836,22476295.55078026,4740.917163459014,31.29896003813751,0.33837637654436237
dax,0.75,0.9607126541799909,5269190.278662685,2295.471689797695,13.601960659360826,0.15599066244205545
dax,0.8,0.901255707762557,3129896.4742564606,1769.1513429484942,9.357341477980892,0.11588210912806712
dax,0.85,0.802130898021309,6962309.369838419,2638.618837543312,10.880425860863257,0.1609790462423373
dax,0.9,0.7796803652968036,6250935.154770636,2500.187023958535,9.231293355311637,0.14428270748786226
dax,0.95,0.4337899543378995,11628591.338077756,3410.0720429453913,13.03282408977204,0.17050306416728173
lufthansa,0.7,0.6169706582077716,10.926329429082562,3.305499875825525,40.42737175152247,0.46160677746405115
lufthansa,0.75,0.8820171265461465,3.594451515063791,1.8959038781182422,20.462571566654496,0.2650937909548419
lufthansa,0.8,0.8085612366230678,3.2966596906237875,1.815670589788739,18.90984440654375,0.24870295890763489
lufthansa,0.85,0.20602218700475436,11.25330422995421,3.3545944956066167,46.840843476032894,0.45815008081404435
lufthansa,0.9,0.8954869358669834,0.925522524488739,0.9620408122781169,13.114262409485281,0.1440848437995356
lufthansa,0.95,0.8625592417061612,0.8237035716551381,0.9075811653263515,9.646440332822587,0.13328500209070648
adesso,0.7,0,129084.46044290741,359.2832593412994,335.782547350408,3.257540955292945
adesso,0.75,0.2668500687757909,4804.559460681142,69.31492956557874,65.18458179297522,0.6737937139205511
adesso,0.8,0.030927835051546393,7710.444647814851,87.8091376100167,90.14236064938895,0.931303701330483
adesso,0.85,0.38215102974828374,1333.934722173115,36.52307109448923,38.06942769525445,0.4053172347069885
adesso,0.9,0.711340206185567,278.68221177370674,16.693777636404132,18.00223742241998,0.19791041649292154
adesso,0.95,0.547945205479452,233.8584764407446,15.292431998892281,14.84402366785911,0.1702527887630222
dax,SEQUENTIAL,1,7101.388195740318,84.26973475536943,0.3469276602106003,0.003469276602106003
lufthansa,SEQUENTIAL,1,0.004352268637453961,0.06597172604573842,0.8744926570219833,0.008264792033705084
adesso,SEQUENTIAL,0,4.752035503286579,2.179916398233331,2.564607527333331,0.025240251619837877
